date_of_sale,address,county,eircode,price,not_full_market_price,vat_exclusive,description,property_size_description,year,quarter,eircode_routing_key,log_price,price_outlier
2021-12-03,"MENNABANAD, BURTONPORT, DONEGAL",Donegal,F94F3X0,103000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q4,F94,11.542493975902508,False
2017-05-04,"15 FOXBOROUGH RD, LUCAN, DUBLIN",Dublin,,230000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q2,,12.345838935721968,False
2020-01-24,"53 HARBOUR VIEW, CROFTON RD, DUNLAOGHAIRE",Dublin,,444000.0,False,False,Second-Hand Dwelling house /Apartment,,2020,2020Q1,,13.003582093664077,False
2021-10-29,"KOLBE, BATTERY RD, LONGFORD",Longford,N39Y8C7,215000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q4,N39,12.278397958261774,False
2023-12-07,"3 WHITES GATE, WHITES ROAD, CASTLEKNOCK",Dublin,D15AK20,1670000.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q4,D15,14.328334783195153,True
2020-08-28,"23 Dun Gaoithe Heights, Aiken's Village, Sandyford",Dublin,,488987.0,False,True,New Dwelling house /Apartment,,2020,2020Q3,,13.1000932282786,False
2010-11-22,"5 Riverside, Milltown Road, Milltown",Dublin,,220000.0,False,False,Second-Hand Dwelling house /Apartment,,2010,2010Q4,,12.301387370778713,False
2023-08-22,"8 CHERRY AVE, SWORDS, DUBLIN",Dublin,K67DK84,332500.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q3,K67,12.71439814659232,False
2025-05-01,"9 LA TOUCHE PARK, GREYSTONES, WICKLOW",Wicklow,A63YP94,1380000.0,False,False,Second-Hand Dwelling house /Apartment,,2025,2025Q2,A63,14.137594781770806,False
2024-11-27,"NEWTOWN RD, BUNDORAN, DONEGAL",Donegal,F94X6K7,270000.0,False,False,Second-Hand Dwelling house /Apartment,,2024,2024Q4,F94,12.506180941677357,False
2013-06-11,"115 Edgewood Lawns, Blanchardstown, Dublin 15",Dublin,,155000.0,False,False,Second-Hand Dwelling house /Apartment,,2013,2013Q2,,11.951186847493476,False
2019-04-11,"2 ASICUS VILLAS, ATHLONE, CO WESTMEATH",Westmeath,,115000.0,False,False,Second-Hand Dwelling house /Apartment,,2019,2019Q2,,11.652696102959753,False
2020-04-06,"APT 16 HANNAH SQ, ST EDMUNDS, LUCAN",Dublin,,260000.0,False,False,Second-Hand Dwelling house /Apartment,,2020,2020Q2,,12.468440756144114,False
2020-05-29,"147 ABBEYLANDS, MULLINGAR, CO WESTMEATH",Westmeath,,172000.0,False,False,Second-Hand Dwelling house /Apartment,,2020,2020Q2,,12.055255569732177,False
2025-06-25,"14 THE CRESCENT, MILLTREE PARK, RATOATH",Meath,A85Y447,360000.0,False,False,Second-Hand Dwelling house /Apartment,,2025,2025Q2,A85,12.793862088206213,False
2021-01-21,"1 AN GLASAN, GREENVILLE LANE, ENNISCORTHY",Wexford,,208000.0,False,False,Second-Hand Dwelling house /Apartment,,2021,2021Q1,,12.245298166364206,False
2015-03-16,"2 CASTLESEEDY COURT, OMAHONY AVE, BANDON",Cork,,90500.0,False,False,Second-Hand Dwelling house /Apartment,,2015,2015Q1,,11.413116179350727,False
2015-10-30,"RHYNN, CRAUGHWELL, CO GALWAY",Galway,,150000.0,False,False,Second-Hand Dwelling house /Apartment,,2015,2015Q4,,11.918397239722838,False
2023-09-21,"Apt 9 Seafield Strand, Santa Sabini  Greenfield Road, Sutton",Dublin,,454262.93,False,True,New Dwelling house /Apartment,,2023,2023Q3,,13.026433651721083,False
2017-12-21,"BALLYRICHARD, MIDDLETON, CORK",Cork,,218000.0,False,False,Second-Hand Dwelling house /Apartment,,2017,2017Q4,,12.292254928916668,False
2011-07-11,"Apt. 21 Clan House, Dominick Street, Galway",Galway,,78000.0,False,False,Second-Hand Dwelling house /Apartment,,2011,2011Q3,,11.264476926102367,False
2010-10-18,"114 Walsh Road, Drumcondra, Dublin 9",Dublin,,277000.0,False,False,Second-Hand Dwelling house /Apartment,,2010,2010Q4,,12.531776395271262,False
2022-04-21,"19 ST RONANS VILLAS, DROMISKIN, LOUTH",Louth,A91PY11,220000.0,False,False,Second-Hand Dwelling house /Apartment,,2022,2022Q2,A91,12.301387370778713,False
2023-08-15,"DRUMLAYDAN (BONEBROOK), CORLOUGH, CO CAVAN",Cavan,H14P998,75000.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q3,H14,11.225256725762893,False
2014-12-23,"9A HAZELWOOD, THURLES, HAZELWOOD",Tipperary,,65000.0,False,False,Second-Hand Dwelling house /Apartment,,2014,2014Q4,,11.082157933374816,False
2015-07-10,"HOUSE PALOMA, EAST FERRY RD, RATHCOURSEY",Cork,,200000.0,False,False,Second-Hand Dwelling house /Apartment,,2015,2015Q3,,12.206077645517674,False
2023-05-31,"16 ASPEN PARK, KINSEALY, DUBLIN",Dublin,K67X757,375000.0,False,False,Second-Hand Dwelling house /Apartment,,2023,2023Q2,K67,12.834683971615659,False
